#details correct:,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s18,s19,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,0,0,0,0,0,2,4,5,0,4,0,0,7,5,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,5,0,6,0,0,0,0,0,5,0
2,0,0,0,0,0,6,3,2,2,0,0,3,3,0,1,0,2,0,0,4,0,4,2,1,0,0,0,2,0,0,0,3,0,1,0,4,2,0,6,0
6,2,2,0,0,1,1,0,0,0,2,1,0,2,5,2,1,0,0,1,0,1,3,0,2,0,0,3,1,2,2,0,2,0,0,0,1,0,0,0,2
17,0,0,7,0,0,4,0,0,4,0,0,5,0,0,9,0,0,0,1,0,5,0,0,0,2,0,5,0,0,6,0,3,0,3,0,0,0,0,9,5
19,0,6,0,0,4,2,5,4,0,0,2,0,2,6,2,0,0,0,1,2,0,5,0,1,0,0,3,0,0,0,2,3,3,5,0,0,4,0,5,2
20,0,5,2,0,0,4,1,0,6,1,1,1,0,0,2,0,1,0,0,5,0,6,0,0,4,0,0,1,0,0,9,0,0,3,0,0,1,2,11,0
22,0,6,2,0,0,6,0,0,5,9,0,5,3,5,5,0,0,0,0,0,2,7,1,5,7,0,2,2,0,0,0,0,0,1,2,0,3,0,11,5
23,0,0,0,0,0,5,0,0,7,3,0,0,2,8,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,6,0,7,0,0,0,0,0
28,0,1,0,1,3,1,3,1,2,2,2,2,3,3,5,0,0,2,1,1,0,5,0,3,0,3,1,1,0,0,6,0,1,3,0,1,5,0,8,0
29,2,7,0,1,0,5,0,1,2,1,3,3,0,3,0,0,0,0,2,1,4,4,0,4,0,0,0,1,0,0,5,0,0,2,0,0,4,0,4,0
34,1,6,2,0,5,5,1,0,1,0,0,0,0,4,4,0,0,2,0,5,0,6,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,10,2
38,0,4,0,0,1,2,0,0,4,5,0,0,0,5,3,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0,5,0,0,3,0,0,0,0,4,0